Word,Count
citizens,4
generation,3
revolution,2
committed,2
powerful,2
supporting,2
themselves,2
alliance,2
instruments,2
weakness,2
negotiate,2
problems,2
absolute,2
endeavor,2
finished,2
struggle,2
celebration,1
symbolizing,1
beginning,1
signifying,1
forbears,1
prescribed,1
three-quarters,1
different,1
revolutionary,1
forebears,1
generosity,1
tempered,1
disciplined,1
heritage,1
unwilling,1
hardship,1
survival,1
cultural,1
spiritual,1
faithful,1
cooperative,1
ventures,1
challenge,1
colonial,1
replaced,1
strongly,1
remember,1
foolishly,1
villages,1
struggling,1
whatever,1
required,1
communists,1
republics,1
progress,1
governments,1
peaceful,1
neighbors,1
aggression,1
subversion,1
anywhere,1
assembly,1
sovereign,1
outpaced,1
becoming,1
invective,1
strengthen,1
adversary,1
destruction,1
unleashed,1
humanity,1
accidental,1
self-destruction,1
sufficient,1
employed,1
overburdened,1
uncertain,1
mankinds,1
remembering,1
civility,1
sincerity,1
belaboring,1
formulate,1
proposals,1
inspection,1
together,1
eradicate,1
encourage,1
commerce,1
oppressed,1
beachhead,1
cooperation,1
suspicion,1
creating,1
preserved,1
thousand,1
lifetime,1
summoned,1
testimony,1
national,1
answered,1
surround,1
embattled,1
twilight,1
rejoicing,1
tribulation,1
fruitful,1
historic,1
generations,1
defending,1
responsibility,1
exchange,1
devotion,1
standards,1
strength,1
sacrifice,1
conscience,1
blessing,1
almighty,0
americans,0
americas,0
hemisphere,0
administration,0
